7	2.4	2
2	0.36	2
2	1.14	2
2	0.61	2
1	1.6	2
5	0.62	2
0	1.78	2
4	0.43	2
19	0.31	2
17	0.8	2
8	3.07	2
6	1.62	2
7	1.78	2
4	2.25	2
8	0.75	2
0	2.42	2
17	1.3	2
24	-0.03	3
6	0.6	3
25	0	3
11	1	3
9	1.41	3
24	0	3
30	1.05	3
22	-0.1	3
11	1.47	3
16	0.05	3
28	0.37	3
7	0.64	3
17	-0.08	3
15	1	3
12	1.18	3
21	0.32	3
23	0.46	3
21	0.66	3
27	0.13	3
7	1	3
17	1.45	3
17	-0.09	3
7	0.6	3
18	0	3
3	0.77	3
8	0.28	3
16	0.05	3
31	0.09	3
27	0.75	3
8	0.05	3
26	0.1	3
22	0	3
31	0.27	3
22	-0.3	3
13	0.12	3
20	-0.19	3
22	-0.08	3
23	0.53	3
21	0.37	3
28	1.13	3
20	0.56	3
22	0.28	3
5	0.6	3
3	0.58	3
11	1.11	3
27	1.34	3
27	1.11	3
28	0.52	3
24	0	3
16	0.18	3
30	0.2	3
20	0.33	3
7	0.39	3
3	0.34	3
22	0.63	3
20	0.3	3
26	-0.15	3
11	-0.09	3
16	0.26	3
17	0.76	3
15	0	3
15	0.35	3
14	0.42	3
18	0.33	3
12	0.08	3
17	0.19	3
18	0	3
18	0.57	3
21	0.09	3
16	0	3
18	-0.26	3
23	-0.19	3
17	0.59	3
15	0.37	3
12	0.08	3
16	0	3
15	-0.16	3
