24	3.31	1
17	3.17	1
28	3.51	1
7	2.73	1
18	3.09	1
22	3.53	1
20	3.38	1
8	2.97	1
11	3.47	1
18	3.31	1
16	3.21	1
22	3.58	1
16	3.56	1
8	3.02	1
5	3.26	1
14	2.96	1
16	3.56	1
23	3.57	1
14	3	1
26	3.49	1
14	3.47	1
16	3.54	1
4	3.16	1
19	3.51	1
12	3.5	1
28	3.54	1
37	3.55	1
22	3.49	1
27	3.43	1
20	3.29	1
25	3.6	1
32	3.68	1
27	3.56	1
28	3.53	1
25	3.65	1
22	3.56	1
33	3.53	1
23	3.55	1
30	3.65	1
29	3.58	1
26	3.66	1
23	3.59	1
2	1.23	2
1	2.05	2
5	2.88	2
1	1.53	2
4	3.14	2
3	3	2
4	2.83	2
2	2.9	2
0	1.47	2
0	3.22	2
11	2.86	2
2	1.81	2
9	3.11	2
8	1	2
4	1.05	2
1	3	2
0	1.56	2
2	2.18	2
8	1.51	2
2	2.62	2
8	2.59	2
1	1.49	2
3	1.57	2
4	1.63	2
3	2.18	2
2	0.85	2
2	1.73	2
4	1.64	2
1	2.53	2
7	3	2
4	2.83	2
1	3.21	2
2	3	2
1	2.05	2
3	2.82	2
1	1.57	2
3	2.84	2
1	1.9	2
2	0.84	2
2	2.04	2
2	1.36	2
7	1.65	2
3	1.38	2
0	1.91	2
2	3.16	2
0	2.8	2
4	3	2
14	0.54	3
29	0.41	3
27	0.46	3
14	0.31	3
15	0.2	3
20	0.72	3
18	0.82	3
5	1	3
11	1.06	3
6	0.71	3
20	0.65	3
18	0.57	3
4	1	3
9	0.44	3
29	0.51	3
2	0.69	3
3	0.77	3
23	0.52	3
38	0.74	3
37	2.15	3
22	0.15	3
7	1.62	3
8	1	3
23	1.08	3
26	0.44	3
27	0.42	3
33	1.21	3
22	1.74	3
33	0.6	3
22	0.67	3
2	0.93	3
2	1	3
19	0.66	3
31	0.3	3
20	0.3	3
3	1.22	3
22	0.24	3
27	0.81	3
27	0.68	3
5	0.58	3
5	1.42	3
33	1.36	3
29	0.59	3
5	1.36	3
6	1.29	3
23	1.33	3
22	0.44	3
13	0.44	3
25	0.61	3
15	0.43	3
29	0.48	3
32	0.5	3
13	0.26	3
13	0.68	3
15	1	3
17	0.67	3
17	0.36	3
27	0.88	3
21	0.53	3
21	0.73	3
20	0.23	3
5	0.73	3
28	1.18	3
27	0.8	3
24	0.33	3
3	1.23	3
24	0.41	3
38	0.95	3
27	0	3
18	0.7	3
26	0.38	3
8	0.84	3
19	0.48	3
3	0.78	3
25	0.43	3
27	0.32	3
2	0.63	3
16	0.37	3
6	0.71	3
35	0.45	3
25	0.53	3
25	0.75	3
30	0.38	3
28	0.69	3
30	0.5	3
27	0.33	3
33	1.26	3
33	0.66	3
20	0.3	3
30	0.37	3
26	0.28	3
27	0.62	3
34	0.6	3
25	0.13	3
0	0.33	4
0	0.73	4
2	0.8	4
1	0.1	4
2	0.54	4
0	1.09	4
1	1	4
0	0.88	4
2	1.16	4
2	0.84	4
0	0.53	4
1	1.2	4
2	0.73	4
0	1.12	4
2	0.44	4
1	0.89	4
1	1.48	4
